trek_code,company_name,customer_segment,total_credit_eur,total_debit_eur,tx_count,last_transaction_date
59558,,,267.95,0.0,3,2024-07-10
60098,,,264.04,0.0,3,2023-06-05
59661,,,256.57,0.0,3,2025-07-18
59779,,,248.09,0.0,3,2024-04-24
60297,,,246.62,0.0,3,2025-10-31
59160,,,242.29,0.0,1,2023-12-22
60328,,,238.13,0.0,3,2026-03-16
60246,,,236.0,0.0,5,2026-02-09
60163,,,231.88,0.0,5,2025-10-01
59701,,,231.13,0.0,3,2023-04-11
60153,,,226.04,0.0,2,2024-01-19
60060,,,220.19,0.0,3,2023-02-02
59474,,,217.76,0.0,2,2023-06-12
59410,,,214.65,0.0,2,2025-04-08
60080,,,213.21,0.0,3,2023-02-28
60167,,,212.42,0.0,3,2024-03-04
60130,,,210.11,0.0,3,2023-10-17
60135,,,206.75,0.0,2,2023-11-28
59882,,,199.07,0.0,1,2023-02-09
60000,,,197.47,0.0,3,2023-02-28
60204,,,195.96,0.0,3,2024-09-11
60083,,,194.55,0.0,3,2023-05-12
59807,,,191.6,0.0,5,2024-12-09
60123,,,188.76,0.0,3,2023-08-30
60248,,,183.69,0.0,3,2025-02-18
59566,,,179.34,0.0,4,2024-10-25
60249,,,176.45,0.0,3,2025-02-28
60174,,,176.25,0.0,2,2024-07-12
60213,,,176.19,0.0,3,2024-10-17
59654,,,174.64,0.0,6,2025-12-15
10049,,,174.05,0.0,6,2024-11-15
60260,,,172.71,0.0,3,2025-05-23
59993,,,171.88,0.0,2,2025-06-03
59610,,,171.11,0.0,3,2025-01-17
59409,,,170.02,0.0,6,2023-09-19
60340,,,168.37,0.0,3,2026-05-19
59880,,,167.41,0.0,5,2025-12-19
59637,,,164.99,0.0,3,2023-07-25
59283,,,164.65,0.0,3,2025-02-18
60217,,,162.69,0.0,3,2024-11-01
59508,,,158.79,0.0,3,2023-02-01
60318,,,157.82,0.0,3,2026-01-26
60186,,,154.04,0.0,3,2024-08-26
59786,,,150.7,0.0,4,2023-11-07
59681,,,149.54,0.0,3,2024-09-18
60182,,,148.13,0.0,2,2024-05-31
59006,,,147.13,0.0,6,2025-10-02
60301,,,147.05,0.0,3,2025-11-21
59935,,,145.33,0.0,3,2023-09-27
59435,,,142.38,0.0,3,2023-06-09
60292,,,141.51,0.0,3,2025-10-08
60122,,,138.79,0.0,3,2023-09-15
60046,,,134.64,0.0,1,2023-10-04
60105,,,133.96,0.0,3,2023-07-11
59492,,,129.5,0.0,3,2023-05-12
60093,,,129.33,0.0,3,2023-04-21
60212,,,127.65,0.0,1,2024-10-11
60250,,,116.03,0.0,2,2025-06-12
60219,,,109.18,0.0,2,2024-11-11
59941,,,108.78,0.0,3,2024-04-18
59022,,,108.78,0.0,3,2024-09-19
59171,,,104.63,0.0,2,2023-11-28
59790,,,98.61,0.0,2,2025-12-15
59519,,,92.5,0.0,1,2023-09-13
59516,,,90.63,0.0,2,2023-12-06
60089,,,84.66,0.0,1,2023-03-06
60157,,,70.64,0.0,2,2024-03-07
59251,,,56.5,0.0,5,2024-09-20
60189,,,51.25,0.0,2,2024-07-02
59958,,,45.54,0.0,1,2024-03-05
59688,,,30.6,0.0,1,2023-07-18
59559,,,30.3,0.0,1,2023-01-24
58842,,,10.8,0.0,1,2024-08-26
